Nº;DATE;TIME;FIELD;RACE;BOX;GREY;RTG
282;2024-11-03;05:13;angle-park;R3;5;ROXY FUDGE;84
283;2024-11-03;05:13;angle-park;R3;6;VACANT BOX;
284;2024-11-03;05:13;angle-park;R3;7;SPRING WHISKEY;84
285;2024-11-03;05:13;angle-park;R3;8;NINA INFERNO;87
286;2024-11-03;05:35;angle-park;R4;1;MAGIC POPPET;99
287;2024-11-03;05:35;angle-park;R4;2;GO GO SNOW;100
288;2024-11-03;05:35;angle-park;R4;3;VACANT BOX;
289;2024-11-03;05:35;angle-park;R4;4;CAPTAIN LARRY;87
290;2024-11-03;05:35;angle-park;R4;5;RUNAWAY MERV;97
291;2024-11-03;05:35;angle-park;R4;6;VACANT BOX;
292;2024-11-03;05:35;angle-park;R4;7;OBSESSION;92
293;2024-11-03;05:35;angle-park;R4;8;ORLANDO GREY;94
294;2024-11-03;05:57;angle-park;R5;1;BROOKLYN ROAD;96
295;2024-11-03;05:57;angle-park;R5;2;LEGENDARY VALUE;86
296;2024-11-03;05:57;angle-park;R5;3;VACANT BOX;
297;2024-11-03;05:57;angle-park;R5;4;TOORA TERRY;97
298;2024-11-03;05:57;angle-park;R5;5;DEEP PURPLE;91
299;2024-11-03;05:57;angle-park;R5;6;VACANT BOX;
300;2024-11-03;05:57;angle-park;R5;7;URANA LIGHTNING;89
301;2024-11-03;05:57;angle-park;R5;8;OAKVALE OUTLAW;100
302;2024-11-03;06:15;angle-park;R6;1;OBLITERATED;100
303;2024-11-03;06:15;angle-park;R6;2;VIC ROSE;95
304;2024-11-03;06:15;angle-park;R6;3;FORGOTTEN FURY;82
305;2024-11-03;06:15;angle-park;R6;4;NATIONAL GRID;92
306;2024-11-03;06:15;angle-park;R6;5;VACANT BOX;
307;2024-11-03;06:15;angle-park;R6;6;AUNTIE CLARE;91
308;2024-11-03;06:15;angle-park;R6;7;SPIN AND BURN;97
309;2024-11-03;06:15;angle-park;R6;8;KATRINA HIGHKICK;86
310;2024-11-03;06:37;angle-park;R7;1;NANGAR TEDDY;87
311;2024-11-03;06:37;angle-park;R7;2;VICTORY CLUB;91
312;2024-11-03;06:37;angle-park;R7;3;ROTTEN RONNIE;100
313;2024-11-03;06:37;angle-park;R7;4;DARK MOONSHINE;80
314;2024-11-03;06:37;angle-park;R7;5;VACANT BOX;
315;2024-11-03;06:37;angle-park;R7;6;JUKEBOX DUKE;96
316;2024-11-03;06:37;angle-park;R7;7;SEND IT SPICE;
317;2024-11-03;06:37;angle-park;R7;8;HOT LIPS;98
318;2024-11-03;06:55;angle-park;R8;1;AMAZED BY YOU;96
319;2024-11-03;06:55;angle-park;R8;2;BLUE INTENSITY;89
320;2024-11-03;06:55;angle-park;R8;3;AUSSIE BRAD;88
321;2024-11-03;06:55;angle-park;R8;4;LOST AT SEA;81
322;2024-11-03;06:55;angle-park;R8;5;TOTALLY EMGRAND;
323;2024-11-03;06:55;angle-park;R8;6;YODA LADY;94
324;2024-11-03;06:55;angle-park;R8;7;CHEWDINI;82
325;2024-11-03;06:55;angle-park;R8;8;CANYA ASSASSIN;100
326;2024-11-03;07:17;angle-park;R9;1;WE AND US;95
327;2024-11-03;07:17;angle-park;R9;2;RIGHT SIDE UP;97
328;2024-11-03;07:17;angle-park;R9;3;VACANT BOX;
329;2024-11-03;07:17;angle-park;R9;4;TAK MASHIDO;99
330;2024-11-03;07:17;angle-park;R9;5;VACANT BOX;
331;2024-11-03;07:17;angle-park;R9;6;BOOM BOOM JACK;100
332;2024-11-03;07:17;angle-park;R9;7;VACANT BOX;
333;2024-11-03;07:17;angle-park;R9;8;LOCKABA ROCKET;86
334;2024-11-03;07:40;angle-park;R10;1;COCO COASTER;98
335;2024-11-03;07:40;angle-park;R10;2;WAY TOO SOFT;99
336;2024-11-03;07:40;angle-park;R10;3;VACANT BOX;
337;2024-11-03;07:40;angle-park;R10;4;CRACKERJACK NICK;100
338;2024-11-03;07:40;angle-park;R10;5;VACANT BOX;
339;2024-11-03;07:40;angle-park;R10;6;AIR PUMBAA;97
340;2024-11-03;07:40;angle-park;R10;7;VACANT BOX;
341;2024-11-03;07:40;angle-park;R10;8;HERCULEAN ZEAL;99
342;2024-11-03;07:58;angle-park;R11;1;BLUE BOY KADE;74
343;2024-11-03;07:58;angle-park;R11;2;CALAIS MAGIC;100
344;2024-11-03;07:58;angle-park;R11;3;VACANT BOX;
345;2024-11-03;07:58;angle-park;R11;4;FAWN CHARGER;87
346;2024-11-03;07:58;angle-park;R11;5;CAPTAIN RITA;92
347;2024-11-03;07:58;angle-park;R11;6;VACANT BOX;
348;2024-11-03;07:58;angle-park;R11;7;BREAKER OF RULES;85
349;2024-11-03;07:58;angle-park;R11;8;MAZUMA MAYHEM;95
350;2024-11-03;20:35;ballarat;R1;1;WHIPPING ALONG;99
351;2024-11-03;20:35;ballarat;R1;2;THERMAL SMOKE;91
352;2024-11-03;20:35;ballarat;R1;3;ELPHIAS DOGE;91
353;2024-11-03;20:35;ballarat;R1;4;BELAIR RUBY;85
354;2024-11-03;20:35;ballarat;R1;5;DRAGON BLACK;100
355;2024-11-03;20:35;ballarat;R1;6;CINDY'S GEM;90
356;2024-11-03;20:35;ballarat;R1;7;JACKPOT CASH;90
357;2024-11-03;20:35;ballarat;R1;8;PUGSLEY;
358;2024-11-03;20:35;ballarat;R1;9;FLYING TULLY;
359;2024-11-03;20:35;ballarat;R1;10;TONK JEAN;90
360;2024-11-03;20:50;ballarat;R2;1;SUFFOLK PARK;100
361;2024-11-03;20:50;ballarat;R2;2;NEIGHBOURS ALARM;79
362;2024-11-03;20:50;ballarat;R2;3;TOE;87
